,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
4861,10/27/2004 17:00,vancouver (canada),bc,ca,unknown,60,60 seconds,At about 70 to 75 degrees from the south eastern horizon&#44 a white speck&#44 had to be in space&#44 as it appeared the size of a satelite. Was,11/2/2004,49.25,-123.13333300000001
4976,10/27/2013 19:05,port alberni (canada),bc,ca,circle,300,5 minutes,I saw a large&#44 round light&#44  moving extremely slowly towards the top of the mountain across from me at treetop level.,11/11/2013,49.233333,-124.8
5048,10/28/2003 16:00,victoria (canada),bc,ca,light,60,1 minute,I saw a light travel faster and at angles I&#39ve never witnessed before.,1/17/2004,46.216667,-63.483332999999995
5263,10/29/2003 00:34,vancouver (canada),bc,ca,light,2,seconds,This Object was no sattellite&#33,10/31/2003,49.25,-123.13333300000001
5437,10/30/1998 03:30,kelowna (canada),bc,ca,fireball,2,< 2sec,Bright white&#44 spherical object.  Approx size = match head held at arm&#39s length.  Direction of travel: an ARC&#44 approx. NE to SW. No tail,12/2/2000,49.9,-119.483333
5483,10/30/2003 23:24,port moody (canada),bc,ca,chevron,35,35 sec,The craft was V shaped with large orangey lights along the bottom it flue low and slow with no sound over the bay.,11/8/2003,49.283333,-122.85
5737,10/31/2003 03:00,vancouver (canada),bc,ca,disk,900,10-15 minutes,Updated  from 10/31/2003 Van BC Ca.  with a much clearer discription.,11/8/2003,49.25,-123.13333300000001
5738,10/31/2003 03:00,vancouver (canada),bc,ca,disk,900,15 minutes,From right put of &quot;Lost in Space The original.  Rotating multi-colored lights bottom and side&#44 silent low hover&#44 EERIE,10/31/2003,49.25,-123.13333300000001
5746,10/31/2003 20:30,vancouver (maple ridge) (canada),bc,ca,other,300,2-5 minutes,Small Orange Object&#44 With a tail. Irratic movements.,5/24/2005,49.25,-123.13333300000001
5861,10/31/2005 20:15,vernon (canada),bc,ca,unknown,420,appox.7min.,8:15 OCT. 31  SPOTED A LARGE CRAFT APPROACHING FROM THE EAST AT FIRST I THOUGHT IT WAS A PLANE.IGOT UP AND WENT ON MY BALCONY&#44 AND WATC,11/3/2005,46.183333,-62.88333299999999
5878,10/31/2006 00:00,vancouver (canada),bc,ca,other,2,at least one hour,UFO in SE sky in Vancouver.  ((NUFORC Note:  Possible sighting of the star Sirius.  PD)),12/7/2006,49.25,-123.13333300000001
6055,10/3/2001 09:00,mission (canada),bc,ca,light,7200,2 hours,a bright baby blue light about twice the size of a normal bulb.,10/12/2001,49.133333,-122.3
6072,10/3/2003 18:45,quesnel (canada),bc,ca,other,480,8 minutes,HBCCUFO CANADIAN REPORT:  An oblong in shape and traveling at an angle of approx: 30 degrees.,10/15/2003,52.983333,-122.483333
6082,10/3/2004 09:15,victoria (canada),bc,ca,cigar,10,9-10 seconds,cigar shaped &#44white silver object  with dark ports on side hovered  breifly then dissappeared,10/27/2004,46.216667,-63.483332999999995
6083,10/3/2004 15:30,merritt (canada),bc,ca,fireball,300,5 mins appox.,the bright round object&#44 with a short tail&#44 stopped in its flight towards earth&#44 turning sideways the silver disc then travelled east,10/27/2004,50.116667,-120.78333300000001
6093,10/3/2004 21:55,mission (canada),bc,ca,circle,30,30 sec.,Five round objects in a V formation quickly moving across the night skies.,10/27/2004,49.133333,-122.3
6177,10/3/2011 08:00,prince rupert (canada),bc,ca,circle,120,2 minutes,Circle shape.prince rupert,10/10/2011,54.316667,-130.333333
6266,10/4/2001 20:00,victoria (canada),bc,ca,light,10,10 seconds,star-like object making erratic movements,10/12/2001,46.216667,-63.483332999999995
6601,10/5/2013 15:45,victoria (canada),bc,ca,disk,6,6 seconds,Object cross the mountains at high velocity color grey metalic. the video is on youtube now...  http://youtu.be/hIa3fet_SZQ,10/14/2013,46.216667,-63.483332999999995
7052,10/8/2003 22:36,salmon arm (canada),bc,ca,cigar,37800,1 1/2 hours,walking with a cigar shaped object  white/yellow,10/15/2003,50.7,-119.28333300000001
7071,10/8/2005 22:00,quesnel (canada),bc,ca,disk,60,one minute or so,3-4 round red disappearing lights in a curved pattern &#44 suggesting the origin of the lights is disk shaped.,12/16/2005,52.983333,-122.483333
7182,10/8/2013 11:20,white rock (canada),bc,ca,fireball,600,10 minutes,Burning objects falling from the sky.,10/14/2013,49.033333,-122.816667
7233,10/9/2002 15:21,new westminster (canada),bc,ca,circle,30,25 - 30 seconds,2 Disc shaped gray objects seen over New Westminster,10/15/2002,49.216667,-122.91666699999999
7243,10/9/2003 14:35,smithers (canada),bc,ca,other,600,10 minutes,HBCCUFO CANADIAN REPORT:  The object was described as being very flat&#44 silver in color.,10/15/2003,54.766667,-127.16666699999999
7413,1/10/1976 18:00,prince george (canada),bc,ca,other,5,5 seconds,Glowing red saucer shaped object in the winter sky.,6/20/2005,53.916667,-122.766667
7482,1/10/2003 23:15,victoria (canada),bc,ca,flash,4,4 seconds,I&#39ve been meaning to write this for sometime.  I believe the date was Jan 10&#44 2003 - might have been the week before.  4 of us were sit,5/2/2003,46.216667,-63.483332999999995
7620,1/10/2014 20:26,terrace (canada),bc,ca,unknown,20,20 seconds,In the west southwest skies over Terrace BC... very far away (so not certain of shape or size) a red and yellow light hovering at first,1/16/2014,54.5,-128.583333
7659,11/10/1998 22:00,vancouver (canada),bc,ca,disk,2,2 seconds,I saw a brief eliptical object that was illuminated for approximately 2 seconds before hurling upward and out-of-sight in the clear&#44 op,12/2/2000,49.25,-123.13333300000001
7852,11/10/2013 20:00,new westminster (canada),bc,ca,oval,1200,20 minutes,Lights over New Westminster.,11/11/2013,49.216667,-122.91666699999999
8227,11/1/2001 04:00,vancouver (canada),bc,ca,other,10,half hour at least,Bright morphing star 0 to figure 8 formation above Seattle and 3 brightest object in sky,11/20/2001,49.25,-123.13333300000001
8461,1/11/2009 20:30,kelowna (canada),bc,ca,light,180,3 minutes,Bright light slowly descending near Bear Creek - Kelowna&#44 BC&#44 Canada.,3/19/2009,49.9,-119.483333
8497,1/11/2011 05:11,salmon arm (canada),bc,ca,oval,600,5 - 10 minutes,Football shaped multi colored craft floats silently across early morning sky from East to West,12/12/2011,50.7,-119.28333300000001
8613,1/11/2014 15:30,new westminster (canada),bc,ca,circle,600,10 minutes,A flying cluster of white light orbs.,1/16/2014,49.216667,-122.91666699999999
8693,11/12/2003 23:45,kelowna (canada),bc,ca,light,8,approx: 8 seconds,HBCCUFO CANADIAN REPORT:  Bright green lights in the area.,11/26/2003,49.9,-119.483333
8816,11/12/2012 22:17,richmond (canada),bc,ca,cross,20,20 seconds,Bright pink lights appears on North Richmond Sky,11/19/2012,45.666667,-72.15
8964,11/13/2009 23:15,vancouver (canada),bc,ca,fireball,15,15 seconds,Three green Orbs spotted over Vancouver&#44 BC Nov13th at 11:15 pm,12/12/2009,49.25,-123.13333300000001
8965,11/13/2009 23:15,vancouver (canada),bc,ca,fireball,15,15 secounds,Three green Obs observed over Vancouver Friday 13th 2009,12/12/2009,49.25,-123.13333300000001
8987,11/13/2011 22:50,surrey (canada),bc,ca,light,5,5 seconds,Bright pink flare-like lights floating down from sky - Two different occasions in Surrey.,12/12/2011,49.13635335,-122.8213433
9083,11/14/1997 21:15,burnaby (canada),bc,ca,delta,60,60 seconds,I live on Burnaby Mountain and noticed a large&#44 well lit flying wedged shaped object flying very low over my house without any noise. I,12/2/2000,49.25,-122.95
9270,11/14/2013 20:10,vancouver (north) (canada),bc,ca,flash,1.5,1.5 seconds,A bright white flash with blue hues resulting in power outage in area.,11/20/2013,49.25,-123.13333300000001
9290,11/15/1969 06:00,vancouver (canada),bc,ca,sphere,25200,7 hours,translucent 12 inch balls of light that are sentient beings with a mission on our little sphere. 500 Lights On Object0: Yes,11/28/2007,49.25,-123.13333300000001
9490,11/15/2003 21:00,vernon (canada),bc,ca,light,5,4 to 5 seconds,HBCCUFO CANADIAN REPORT:  Large bright florescent green colored round ball of light.,11/26/2003,46.183333,-62.88333299999999
9655,11/15/2012 24:00,savona (canada),bc,ca,circle,900,15 minutes,Brightest lit object i have seen&#44 circular.  Hoovered and dimmed and came back on again.,11/19/2012,50.75,-120.85
9914,11/16/2003 07:30,burns lake (canada),bc,ca,light,60,approx: 1 minute,HBCCUFO CANADIAN REPORT:  Glowing  bright reddish light&#44 lights up highway #16,11/26/2003,54.216667,-125.766667
9918,11/16/2003 15:00,coquitlam (canada),bc,ca,other,2,few seconds,HBCCUFO CANADIAN REPORT:  A elongated&#44 whitish/silver shaped light just below the cloud cover.,1/17/2004,49.266667,-122.78333300000001
10964,1/1/2001 07:30,victoria (canada),bc,ca,,120,some minutes,I am always interested in &quot;fireball&quot; description sightings because some years ago I had a strange one that I posted to your site.  It w,7/19/2010,46.216667,-63.483332999999995
10969,1/1/2001 22:00,burnaby (canada),bc,ca,teardrop,40,40 sec,UFO checks out abnormal heat source&#44thinking it could be a heat vent. 500 Lights On Object0: Yes,11/28/2007,49.25,-122.95
11004,1/1/2003 19:30,coquitlam (canada),bc,ca,rectangle,6,approx: 6 sec.,HBCCUFO CANADIAN REPORT:  Rectangular shaped object.,4/22/2003,49.266667,-122.78333300000001
11047,1/1/2006 23:00,prince george (canada),bc,ca,circle,900,15 min,There were four red balls of light flying in formation over the neighbourhood for about 15 or 20 minutes.,8/7/2007,53.916667,-122.766667
11462,1/1/2014 01:00,richmond (canada),bc,ca,fireball,300,5 minutes,UFO &quot;Fireball&quot; Sighting.,1/10/2014,45.666667,-72.15
11564,11/20/2002 17:45,merritt (canada),bc,ca,triangle,120,2 minutes,Silent&#44 triangular shaped object&#44 with an accumulation of shimmering red lights in the 3 corners.,12/23/2002,50.116667,-120.78333300000001
11740,11/21/2000 18:30,prince george (canada),bc,ca,triangle,600,10 min,A bright triangular shaped fast moving object that has been seen more than once by myself and others in my household.,12/2/2000,53.916667,-122.766667
11812,11/21/2008 19:30,victoria (canada),bc,ca,light,20,20 seconds,REDDISH ORANGE LIGHT  ZOOMING ACROSS VANCOUVER ISLAND,1/10/2009,46.216667,-63.483332999999995
11858,11/21/2012 21:30,langley (canada),bc,ca,fireball,1800,30 minutes,There appeard to be two different UFO&#39s One with red and blue light. the other more saucer shape with white light - 5 lights.,12/20/2012,49.1,-122.65
12028,11/2/2006 19:30,dawson creek (canada),bc,ca,flash,14400,about 3 or 4 hours.,Orangish glow seen high over mountain.,12/7/2006,55.766667,-120.233333
12278,11/22/2000 08:30,delta (canada),bc,ca,cigar,120,about 2 minutes,Silvery cigar hovers&#44 dissappears&#44 reaapears and dissappears over Boundary Bay,12/2/2000,50.183333,-98.31666700000001
12288,11/22/2001 18:25,revelstoke (canada),bc,ca,circle,2,few sec.,Blinking&#44 rotating lights above traintrack of Revelstoke city,12/5/2001,51,-118.183333
12497,11/23/1997 23:00,abbotsford (canada),bc,ca,chevron,300,5 minutes,Walking home one evening  i noticed the ground light up around me.  i looked up to see a row of lights blinking off and on.when my eyes,2/8/2005,45.433333,-72.883333
12893,11/25/2001 18:32,richmond (canada),bc,ca,changing,600,10 minutes,I was with my friend having some food on a park bench at 18:32 pacific time&#44 when all of a sudden two flying objects shot out of nowher,12/5/2001,45.666667,-72.15
12916,11/25/2004 19:00,surrey (canada),bc,ca,circle,40,40 seconds,UFO&#39s in Surrey? I Wouldn&#39t have believed it if I hadn&#39t seen it for myself&#33,12/3/2004,49.13635335,-122.8213433
12955,11/25/2008 19:30,nanaimo (canada),bc,ca,disk,600,10 min,sauntering lights across the night sky left me woundering what this could be....,1/10/2009,49.15,-123.91666699999999
13020,11/25/2013 22:13,abbotsford (canada),bc,ca,formation,180,3 minutes,6 Orange orb lights in formation flying at night flying slowly as I looked up from a truck&#44 and cought on high resolut security camera.,12/2/2013,45.433333,-72.883333
13177,11/27/1979 20:45,burnaby (canada),bc,ca,disk,5,4-5 sec,the truth is out there &#44 we&#39ve all seen it,4/27/2007,49.25,-122.95
13531,11/28/2012 06:15,delta (canada),bc,ca,triangle,15,15 seconds,2 crafts&#44 triangle shape&#44 with green and red lights on edges and flickering lights in between/along bottom.,12/20/2012,50.183333,-98.31666700000001
13623,11/29/2002 00:19,victoria (canada),bc,ca,other,3,3 seconds,Space debris momentarily light up in sky over Victoria B.C.,12/23/2002,46.216667,-63.483332999999995
13781,11/30/2000 16:00,vancouver (canada),bc,ca,fireball,10,10 seconds,Spinning ball of fire that disappeared &#44 and army helicoters going by.,12/9/2000,49.25,-123.13333300000001
13805,11/30/2003 16:30,new westminster (canada),bc,ca,light,6,appox: 6 sec.,HBCCUFO CANADIAN REPORT:  Suddenly disappeared within about 1.5 seconds&#44 and it all came together as one.,12/9/2003,49.216667,-122.91666699999999
13806,11/30/2003 16:45,vernon (canada),bc,ca,light,540,8 to 9 minutes,HBCCUFO CANADIAN REPORT:  Object descend into the trees on the hill directly south of Vernon airport.,12/9/2003,46.183333,-62.88333299999999
14253,1/13/2013 04:45,courtenay (canada),bc,ca,light,1,1 second,Bright blue flash that lights up the night sky.,2/4/2013,49.683333,-125.0
14630,1/14/2014 17:45,west kelowna (canada),bc,ca,other,900,15 minutes,Large light bigger than fullmoon moving in a circular and oval orbit in the sky above cloud line.,1/16/2014,49.9,-119.483333
14762,1/15/2000 13:52,kelowna (canada),bc,ca,circle,30,30 seconds,We were returning home from the mall and my attention was drawn to a redish object moving at a very considerable speed in the clear ski,12/2/2000,49.9,-119.483333
14843,1/15/2004 02:00,peachland (canada),bc,ca,light,7200,2 hours,Saw flashing colored lights hovering in the night sky,1/22/2004,49.766667,-119.75
14889,1/15/2005 22:00,abbotsford (canada),bc,ca,sphere,15,10-15 seconds,We were about to go sledding when a SHINY BROWN SPHERE OBJECT soared above US&#33,5/11/2005,45.433333,-72.883333
14908,1/15/2006 14:00,victoria (canada),bc,ca,other,120,2 minutes,my mother took this picture.  There is no way she could have doctored this or changed this image in any way.  Though she uses a compute,2/24/2007,46.216667,-63.483332999999995
15017,1/15/2009 22:00,takla landing (canada),bc,ca,circle,2,seconds,To my mind a no brainer multiple UFO sighting that has occured more than once in the same area.,7/17/2011,55.483333,-125.983333
15471,1/16/2012 23:00,surrey (canada),bc,ca,cylinder,30,30 seconds,Crazy sighting.,2/4/2013,49.13635335,-122.8213433
15598,11/7/2003 17:00,quesnel (canada),bc,ca,light,4,3 to 4 seconds,HBCCUFO CANADIAN REPORT:  Light shot across the  sky getting brighter,11/11/2003,52.983333,-122.483333
15599,11/7/2003 17:00,vancouver (canada),bc,ca,fireball,3,3 seconds,HBCCUFO CANADIAN REPORT:  It was large and had a long flaming/ sparking tail.,11/11/2003,49.25,-123.13333300000001
15600,11/7/2003 17:11,burnaby (canada),bc,ca,fireball,3,3 seconds,Suspected meteorite - glowing debris descending very fast and steep,11/8/2003,49.25,-122.95
15803,1/17/2012 02:00,surrey (canada),bc,ca,changing,900,10-15 minutes,UFO CHANGES SHAPES AND COLORS AND SPLIT INTO TWO WITH SOUND. ((NUFORC Note:  Aircraft landing&#44 we believe.  PD)),2/3/2012,49.13635335,-122.8213433
16452,1/19/2007 19:30,coquitlam (canada),bc,ca,circle,180,3 min.,yellow lights flashing for a moment then what remained was a dark greyish object,2/1/2007,49.266667,-122.78333300000001
16679,1/20/2000 22:00,vancouver (canada),bc,ca,chevron,30,00:00.3,Black Chevron object&#44 camoflauged with the dark sky. no lights&#44 no sound.,1/29/2002,49.25,-123.13333300000001
16750,1/20/2007 21:00,north vancouver (canada),bc,ca,flash,5,5 seconds,Pin point of light in night sky comes at me or expands into larger ball of light  then retreats and disappears.,6/12/2007,49.316667,-123.066667
16764,1/20/2008 11:00,north vancouver (canada),bc,ca,triangle,180,3 minutes,1 triangle shaped grey object flew in landing gear first with very large landing gear on either wing.,2/14/2008,49.316667,-123.066667
17471,1/21/2007 00:00,maple ridge (canada),bc,ca,oval,960,16 mins,MULTI COLORED  OBJECT  CHASED BY CHOPPER,2/1/2007,49.25,-122.5
17503,1/21/2008 20:00,maple ridge (canada),bc,ca,changing,600,10 minutes,star like object changing shape with it jerky movements every couple of minutes,2/14/2008,49.25,-122.5
17611,1/21/2013 07:45,west kelowna (canada),bc,ca,changing,1335,7:45-9:21,The object changed shape from diamond to triangle and greeny blue liquid fell on the road.,7/14/2013,49.9,-119.483333
17922,12/13/2006 13:05,campbell river (canada),bc,ca,other,45,30-45 seconds,At about 1:05 PM (clear skies) driving up a hill I saw a metallic grey craft in the sky&#44 travelling dangerously low&#44 moving very slowly,2/1/2007,50.016667,-125.25
18131,12/14/2007 24:00,kamloops (canada),bc,ca,light,25200,5-7 hours,Everything started about a month ago. I and another worker seen a bright yellow light in the sky. It wasn&#39t very high in altitude&#44 I&#39d,1/21/2008,50.666667,-120.33333300000001
18204,12/15/1968 17:30,richmond (canada),bc,ca,disk,600,5-10 min.,rainbow lighting travelled around the object,5/27/2003,45.666667,-72.15
18304,12/15/2002 03:30,hazelton (17 km north) (canada),bc,ca,light,240,3 to 4 minutes,HBCCUFO CANADIAN REPORT:  Update -  Object viewed for 3-4 minutes - Not a Satellite.,3/21/2003,55.25,-127.66666699999999
18318,12/15/2003 06:45,victoria (canada),bc,ca,light,10,10 seconds,Flash of light which stopped abruptly&#44 descended&#44 ascended&#44 hairpin turn and quickly flew away.,1/17/2004,46.216667,-63.483332999999995
18334,12/15/2004 08:10,victoria (canada),bc,ca,circle,2400,~40 minutes,Six white lights encircling greenish dot&#44 seen over Washington state&#4410000 feet&#44 high moves  slowly southward,1/11/2005,46.216667,-63.483332999999995
18339,12/15/2004 18:00,kelowna (canada),bc,ca,circle,5,5 seconds,Object  made a change in direction without  making a curve and did not slow down during this manouver .,1/19/2005,49.9,-119.483333
18607,12/16/2013 00:00,west kelowna (canada),bc,ca,unknown,600,~10 minutes,Irregular flashing lights moving up down&#44forward backwards slowly&#44then speeding up&#44thought it was a satellite..nothing moves like this,12/23/2013,49.9,-119.483333
18709,12/17/2009 17:00,merritt (canada),bc,ca,sphere,7,7 seconds,A glowing yellowish-green sphere fell&#44 shortly after dusk&#44 lasted seven seconds before disappearing&#44 and made no sound.,2/14/2010,50.116667,-120.78333300000001
18803,12/18/2003 17:30,kelowna (canada),bc,ca,disk,15,15 seconds,huge bright yellow light appeared then landed on a mountain top,12/19/2003,49.9,-119.483333
18822,12/18/2004 22:20,vancouver (canada),bc,ca,flash,1,1 second,Silent blue lightning shoots from the sky,1/11/2005,49.25,-123.13333300000001
19058,1/2/2000 19:30,vancouver (canada),bc,ca,light,3,2-3 secs,Point of light moving quickly,12/2/2000,49.25,-123.13333300000001
19180,1/2/2011 20:30,abbotsford (canada),bc,ca,fireball,120,2 mins,Brilliant Orange Fireball traveling across sky in Abbotsford&#44 BC,1/31/2011,45.433333,-72.883333
19333,12/20/2009 19:23,nelson (canada),bc,ca,light,1800,30 minutes,Red/Blue light hovering over Nelson&#44 B.C.&#44 Canada&#39s Bridge,8/24/2010,57.066667,-92.583333
19338,12/20/2010 23:50,victoria (canada),bc,ca,light,60,1 minute,Bright orange orb&#44 flying very fast but changing speed and direction&#44 seen flying SSE to NNW over downtown Victoria&#44 BC,1/5/2011,46.216667,-63.483332999999995
19542,1/22/1999 18:42,vancouver (canada),bc,ca,circle,2,2 seconds,white circle one quarter size of full moon appeared NNW&#44 sky&#44 disappeared SSEsky&#44 no trail.,12/2/2000,49.25,-123.13333300000001
19558,1/22/2001 17:12,burnaby (canada),bc,ca,other,3,3 seconds,Just before sunset a huge green/yellow streak of light shot accross the sky (north-east) so fast and disappeared without a trace left.,2/18/2001,49.25,-122.95
19751,1/22/2011 19:25,chemainus (canada),bc,ca,fireball,900,15 minutes,A bright orange light over the Chemainus River&#44 Vancouver Island lasting 15 minutes.,1/31/2011,48.916667,-123.7
19858,12/22/2004 16:39,vancouver (canada),bc,ca,cigar,120,2 minutes,6 cigar shaped objects over Vancouver,1/11/2005,49.25,-123.13333300000001
20013,12/23/2004 16:40,nanaimo (canada),bc,ca,unknown,2040,34min,Do not have much time here&#44 Christmas eve&#44 gotta go&#44 but yesterday&#44 my fiance and I saw about 1000 feet away&#44 above 120 foot tall old f,1/19/2005,49.15,-123.91666699999999
20133,12/23/2013 23:00,parksville (canada),bc,ca,circle,300,5 minutes,7 colored Orbs in a staggered V shape flying towards military base in Canada.,1/10/2014,49.3,-124.316667
20452,12/25/2001 19:30,vancouver (canada),bc,ca,triangle,45,45 sec.,returning from christmas dinner heading west on barnet highway&#44while driving i noticed something looking to the northeast.i told my wif,1/11/2002,49.25,-123.13333300000001
20469,12/25/2003 18:30,vancouver (canada),bc,ca,triangle,180,1-3 minutes,Black triangular craft with green/red lights flying high over lake christmas night.,1/17/2004,49.25,-123.13333300000001
20529,12/25/2009 20:30,nanaimo (canada),bc,ca,triangle,1200,20 minutes,4 orange/red balls fairly low in sky&#44 3 in shape of triangle&#44 1 floated through middle,2/14/2010,49.15,-123.91666699999999
20682,12/26/2000 21:00,cranbrook (canada),bc,ca,circle,2700,30 - 45 minutes,Soft lights in a large circle formation&#44 turning counter clockwise&#44 moved back and forth above a broken cloud cover.,1/3/2001,49.516667,-115.766667
20705,12/26/2003 23:00,sicamous (canada),bc,ca,diamond,3600,approx: 1 hour,HBCCUFO CANADIAN REPORT:  Objects seen shooting out other objects,1/17/2004,50.833333,-119.0
20707,12/26/2003 23:30,sicamous (canada),bc,ca,light,37800,1 1/2 hours - more.,HBCCUFO CANADIAN REPORT:  RCMP Investigate and observe object.,3/17/2004,50.833333,-119.0
20708,12/26/2003 23:30,sicamous (canada),bc,ca,light,37800,1 1/2 hours - more.,HBCCUFO CANADIAN REPORT:  RCMP report - Sicamous&#44 British Columbia Sighting.,3/17/2004,50.833333,-119.0
20721,12/26/2005 21:50,peachland (canada),bc,ca,other,600,10 min,Ultrabright light travelling at high speeds and dancing in the sky,2/14/2006,49.766667,-119.75
20865,12/27/2006 02:30,victoria (canada),bc,ca,circle,3600,1 hour,Bright saucer spinning &amp; zig zagging in the night sky.,2/1/2007,46.216667,-63.483332999999995
21061,12/28/2010 22:30,vancouver (canada),bc,ca,light,1200,20 minutes,approx. 12 red spheres following thesame flight path,1/5/2011,49.25,-123.13333300000001
21119,12/29/1977 02:00,whitehorse (canada),bc,ca,flash,3600,1 hour,Nightime sighting by many witnesses which forced a police car and fire truck off the road,5/12/2009,60.716667,-135.05
21185,12/29/2007 00:50,vancouver (canada),bc,ca,other,1.5,1.5 seconds,Large emerald green orb shaped light appearing suddenly seen in NW sky travelling initially in a northern direction&#44 then suddenl,3/4/2008,49.25,-123.13333300000001
21371,12/30/2010 17:30,courtenay (canada),bc,ca,light,30,30 seconds,Mysterious green light in night sky,1/5/2011,49.683333,-125.0
21446,12/31/1999 11:00,cranbrook (canada),bc,ca,unknown,60,1min,I dont know what it could have been&#44 it rocketed skyward at an extremely high rate of speed and looked like an up-side down tornado ris,2/11/2003,49.516667,-115.766667
21471,12/31/2001 23:20,victoria (canada),bc,ca,disk,20,20 seconds,My wife and I observed a dark brown/black disk shaped object with a dome of sorts on its top.,1/11/2002,46.216667,-63.483332999999995
21910,12/3/2003 16:45,vernon (canada),bc,ca,light,1200,20 minutes,HBCCUFO CANADIAN REPORT:  A red sphere flashed by going south.,12/9/2003,46.183333,-62.88333299999999
22042,1/23/2009 21:00,surrey (canada),bc,ca,light,1800,30+ minutes,There was a bright light in the night sky&#44 moving at sharp angles in a predictable rectangular path.  ((NUFORC Note:  Venus.  PD)),3/19/2009,49.13635335,-122.8213433
22593,1/25/2005 00:32,victoria (canada),bc,ca,fireball,30,30 seconds,Fireballs seen over Vancouver Island.,1/27/2005,46.216667,-63.483332999999995
