Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
10/16/1988 00:34,winnipeg (canada),mb,ca,triangle,1200,20 minutes,Triangular shape lands in a manitoban field.  ((NUFORC Note:  Possibly not a serious report.  PD)),5/11/2005,49.883333,-97.166667
10/16/2001 20:00,doaktown (canada),nb,ca,unknown,120,hours,bright object bobbeb &amp; weaved in the air and moved unconventionally for 2 nights in a row.,2/22/2002,46.55,-66.116667
10/16/2005 17:39,rosthern (canada),sk,ca,cylinder,120,2 minutes,Oct/ 16 sun 2005; Me and my daughter and while on the way home from a convience store saw a silver sparkle in the sky; it was a clear e,10/20/2005,52.65,-106.33333300000001
10/17/1998 02:17,ottawa (woodroffe &amp; baseline) (canada),on,ca,light,30,30 sec,from centre of Orion&#44 a seemingly far off single point of light&#44 brightness of a star&#44 moved downward to horizon&#44 side to side (about 2,12/2/2000,45.416667,-75.7
10/17/1999 07:55,victoria (canada),bc,ca,teardrop,300,5 min approx.,Very bright light observed in eastern sky. After watching for several minutes determined it was moving away from us.,12/2/2000,46.216667,-63.483332999999995
10/17/2003 20:15,montreal (canada),pq,ca,light,4200,approx: 70 minutes,HBCCUFO CANADIAN REPORT:  The 4 lights at equal distance from one another.,10/31/2003,45.5,-73.583333
10/17/2013 01:00,cornwall (canada),on,ca,other,180,3 minutes,freek me out ?,1/16/2014,46.24,-63.21
10/17/2013 24:00,chilliwack (canada),bc,ca,changing,120,2 minutes,New Information in order to make sense of sightings.,10/23/2013,49.166667,-121.95
10/18/2000 20:45,vancouver (canada),bc,ca,unknown,60,less than 1 mn,Static orange &quot;garland&quot; silently gliding over Vancouver,12/2/2000,49.25,-123.13333300000001
10/18/2001 00:00,regina (canada),sa,ca,light,120,2 min,red and white strobing light moving oddly&#44 not a jet&#44 looked far off.,11/20/2001,50.45,-104.616667
10/18/2003 23:00,bridgewater (canada),ns,ca,circle,300,5 minutes,White ball flying in the night sky&#44 very fast.,12/19/2003,44.366667,-64.516667
10/18/2012 09:00,gagetown (canada),nb,ca,oval,300,5 minutes,Oval shaped&#44 orange glow&#44 hovering over the Gagetown Ferry route. Eventually shrunk to a pin hole of light and disappeared. No noise.,10/30/2012,45.766667,-66.15
10/18/2013 19:30,victoria (canada),bc,ca,light,600,10 minutes,3 orange lights seen moving in the sky,10/23/2013,46.216667,-63.483332999999995
10/19/1998 04:40,chesterville (canada),on,ca,disk,420,5-7mins,early morning sphere sighting&#44 hovering just above trees appx 100 yds away&#44 silent but craft very distinctive.,4/27/2004,45.966667,-71.81666700000001
10/19/2000 00:15,pickering (canada),on,ca,circle,600,5 - 10 minutes,Quick sightings of 2 flying objects... not of this world&#33,12/2/2000,43.866667,-79.033333
10/19/2000 20:00,sherwood park (canada),ab,ca,unknown,2,1 to 2 seconds,6+ beige colored objects&#44 flying in a triangular formation&#44 followed by a wispy column in the night sky over Sherwood Park&#44 Alberta.,12/2/2000,53.516667,-113.316667
10/19/2002 17:50,calgary (canada),ab,ca,egg,600,10 mins,STRANGE OBJECT SPOTTED OVER THE CITY OF CALGARY,10/28/2002,51.083333,-114.08333300000001
10/19/2003 23:30,vancouver (canada),bc,ca,light,3,3 seconds,HBCCUFO CANADIAN REPORT:  Red light falling vertically.,10/31/2003,49.25,-123.13333300000001
10/19/2009 01:41,oshawa (canada),on,ca,diamond,20,20 seconds,V shaped formation of diamond shaped lights over Oshawa Ontario.,12/12/2009,43.9,-78.866667
10/19/2013 20:05,riverview (canada),nb,ca,light,1200,15-20 minutes,Slow-moving red/orange lights.,10/23/2013,46.05,-64.81
10/19/2013 23:30,napanee (canada),on,ca,fireball,2700,45 minutes,Fireball over Lake Ontario.,10/23/2013,44.25,-76.95
10/20/1989 00:00,ottawa (canada),on,ca,circle,80,80 second,It was snowy winter night&#44I sat camly listening to slow music flowing out of my girl friend car record&#44she was sitting in the driving s,11/2/2004,45.416667,-75.7
10/20/2002 23:30,toronto (canada),on,ca,light,2,seconds,White light shots across sky.,10/28/2002,43.666667,-79.416667
10/20/2004 01:00,markham (canada),on,ca,light,120,2 minutes,3 lights rotating around each other&#44 changing from red to blue to green.,7/5/2005,43.866667,-79.266667
10/20/2004 20:00,toronto (canada),on,ca,triangle,30,30s,1 triangle shaped object with 3 lights at the ends going kind of slow.. and then speeding up,10/27/2004,43.666667,-79.416667
10/20/2004 23:45,timmins (canada),on,ca,light,300,5 minutes,One minute the ball of light was there and the next moment&#44 it was as though someone slipped a black blanket over it to cover it.,1/19/2005,48.466667,-81.333333
10/20/2005 01:34,chateauguay (canada),qc,ca,changing,20,20 seconds,Driving home from work on Highway 30. Saw huge bright light move side to side and then vanished.,11/3/2005,45.383333,-73.75
10/20/2006 01:30,victoria (canada),bc,ca,sphere,7200,approx 2hrs,UFO That Performed For Hours (Caught On Tape) ((NUFORC Note:  Possible sighting of twinkling star?  PD)),10/30/2006,46.216667,-63.483332999999995
10/20/2007 20:45,sioux lookout (canada),on,ca,light,3,3 seconds,bright orange star is stationary&#44 when witnessed by 2nd person it fades and moves away.  3rd time this season,11/28/2007,50.1,-91.916667
10/20/2011 22:40,williams lake (canada),bc,ca,triangle,1800,30 min,we just arrived home about 1 hour ago and im still shaking me and my wife and my 1 year old were returning from a trip and we noticed t,10/25/2011,52.116667,-122.15
10/20/2012 19:20,ottawa (canada),on,ca,oval,900,15 minutes,Three orange lighting objects came from south to north at the sky all over Ottawa and went away.,10/30/2012,45.416667,-75.7
10/21/2000 01:30,waterloo (canada),on,ca,other,10,10 secs (approx),Crescent shaped object zig-zagging WNW above Waterloo&#44 Ontario&#44 Canada,12/2/2000,45.35,-72.516667
10/21/2001 19:00,whycocomagh (canada),ns,ca,oval,300,5 minutes,whycocomagh&#44margaree valley mountain,2/1/2007,45.966667,-61.11666700000001
10/21/2004 01:10,st. catharines (canada),on,ca,triangle,60,1 minute,Sighting Of Objects in St. Catharines&#44 Ontario Canada,10/27/2004,43.166667,-79.233333
10/2/1998 14:00,wasaga beach (canada),on,ca,cigar,20,10 -20 seconds,Flash in the sky then silver cigar shaped craft appeared.,12/16/2005,44.52,-79.99
10/2/2003 12:00,hanna (canada),ab,ca,cigar,180,3 minutes,They were aligned in a triangle formation they appared to be rotating in a circle.There was a burst of green light then they disape,10/15/2003,51.633333,-111.91666699999999
10/2/2003 19:15,smithers (canada),bc,ca,unknown,120,2 minutes,HBCCUFO CANADIAN REPORT:  A huge orange ball with a very short tail,10/7/2003,54.766667,-127.16666699999999
10/2/2005 15:00,toronto (canada),on,ca,egg,120,2 minutes,It zigzaged  around and went very fast. It had lights that were not flashing,10/11/2005,43.666667,-79.416667
10/22/2001 02:49,peterborough (canada),on,ca,chevron,3,3 sec,5 chevron lights - canada,11/20/2001,44.3,-78.333333
10/22/2002 22:30,london (canada),on,ca,triangle,120,1-2 minutes,The object was low to the ground&#44 stationary and had three bright white lights in a triangular formation&#44 with no sound.,5/24/2005,42.983333,-81.25
10/22/2003 19:00,houston (canada),bc,ca,light,180,3 minutes,HBCCUFO CANADIAN REPORT:  Huge bright light drops right over the tree tops.,10/31/2003,54.4,-126.65
10/22/2003 20:54,houston (canada),bc,ca,fireball,4,3 to 4 seconds,HBCCUFO CANADIAN REPORT:  Large blue fireball steaks across the sky.,10/31/2003,54.4,-126.65
10/22/2012 03:00,ottawa (canada),on,ca,,600,10 minutes,Intense bright  4xsize star&#44 heading  ESE  opposite tthe nite sky direction at twice the speed for over 10 minutes.,10/30/2012,45.416667,-75.7
10/22/2012 19:32,toronto (canada),on,ca,light,120,2 minutes,Bright single white solid light/orb quietly flies across city sky at low altitude and extinguishes itself after passing over airplane.,10/30/2012,43.666667,-79.416667
10/23/1999 00:00,oakville (canada),on,ca,circle,4,4 seconds,12:OO EASTERN TIMME I WAS SITTING IN THE TV ROOM WHEN I SAW TWO NEON GREEN BALLS FOLLOWING AT A RAPID SPEED DIRECTLY DOWNWORD TO THE LA,12/2/2000,43.433333,-79.666667
10/23/2000 24:00,toronto (canada),on,ca,flash,1733,28:53:00,I was just standing out front of work with a client haveing a ciggerette&#44when we saw two strange flash lights in the northern part of t,12/2/2000,43.666667,-79.416667
10/23/2008 14:00,hamiota (canada),mb,ca,other,90,90 secs,Round ball with fuselage attached.,1/10/2009,50.183333,-100.6
10/23/2009 00:00,toronto (canada),on,ca,chevron,25,25 seconds,v shape loking thing with stars in toronto canada,2/14/2010,43.666667,-79.416667
10/23/2010 16:21,ottawa (canada),on,ca,sphere,10,10 seconds,Shiny round object seen in broad daylight&#44 then suddenly disappears.,11/21/2010,45.416667,-75.7
10/23/2011 22:50,carleton place (canada),on,ca,triangle,10,10 seconds,Triangle shaped object with 3 red lights seen by 2 people,10/25/2011,45.133333,-76.133333
10/24/1977 19:00,winnipeg (canada),mb,ca,triangle,60,1 minute,Black Triangle hovers over car in city (soundless)&#44 street lights went out&#44 &quot;whoosh&quot; acceleration&#44 then street lights  back on.,11/21/2010,49.883333,-97.166667
10/24/1997 15:00,musquodoboit harbour (canada),ns,ca,other,45,45 secs +/-,H shaped craft seen in daylilght hours 9 years ago in Musquodobit Harbour area of Nova Scotia.,2/14/2006,44.783333,-63.15
10/24/1999 00:00,oakville (canada),on,ca,circle,4,4 seconds,I WAS SITTING IN MY TV ROOM AT 12:00AM WHEN I SAW TWO NEON GREEN CIRCLESDROPPING AT A RAPID SPEED TO THE LAKE (LAKE ONTARIO)IT WAS AS C,12/2/2000,43.433333,-79.666667
10/24/2000 22:30,toronto (canada),on,ca,disk,240,4 minutes,was standing at the balcony of my apartment at the 14th floor of a flat ...   at about 10.30 in the night i saw a green disc which was,12/2/2000,43.666667,-79.416667
10/24/2008 22:00,edmonton (canada),ab,ca,light,900,15 minutes,Balls of lights dancing in the clouds.,10/31/2008,53.55,-113.5
10/24/2012 22:22,montreal (canada),qc,ca,changing,3,2-3 seconds,Falling light with a changing shape in rotation.,10/30/2012,45.5,-73.583333
10/24/2013 19:10,west vancouver (canada),bc,ca,light,600,10 minutes,Solid white light over Vancouver BC moving due south.,11/11/2013,49.25,-123.13333300000001
10/25/1989 18:45,endako (canada),bc,ca,unknown,1500,approx: 25 minutes,HBCCUFO CANADIAN REPORT:  Unusual object which was flying low and parallel to their vehicle along Highway #16.,3/17/2004,54.083333,-125.016667
10/25/1999 14:00,edmonton (canada),ab,ca,cylinder,2400,approx: 40 mins,HBCCUFO CANADIAN REPORT:  I noticed a black cylinder orientated vertically.,8/1/2003,53.55,-113.5
10/25/2007 21:00,victoria (canada),bc,ca,light,60,60 seconds,Two seperate sightings&#44 from living room window&#44 west coast of Canada,11/28/2007,46.216667,-63.483332999999995
10/25/2007 22:05,vulcan (14 miles nw of) (canada),ab,ca,circle,60,50-60 seconds,bright green intensely glowing ball &#39falls&#39 rapidly from the sky and then zig zags away,3/4/2008,50.4,-113.25
10/25/2009 07:00,toronto (canada),on,ca,light,2,few seconds,high speed ball of light across the sky at dawn and then the light went out,12/12/2009,43.666667,-79.416667
10/25/2010 07:12,barrhead (canada),ab,ca,light,90,1.5 minutes,Bright white light by tower,11/21/2010,54.116667,-114.4
10/25/2011 21:30,brighton (canada),on,ca,sphere,900,15 min,Big sphere hovering over Lake Ontario,12/12/2011,44.033333,-77.733333
10/25/2012 22:00,toronto (canada),on,ca,rectangle,300,5 minutes,Was trying to take photos of Jupiter&#44 and noticed this object in the photos.,10/30/2012,43.666667,-79.416667
10/26/2000 00:45,thornhill (canada),on,ca,triangle,120,2 minutes,what in the heck was that?,3/6/2001,43.8,-79.416667
10/26/2003 16:25,vernon (canada),bc,ca,other,300,5 mins,I was standing behind my car&#44 waiting for a phone call and I looked up to the clouds and notice a white dot moving at a slow pace. I wa,11/8/2003,46.183333,-62.88333299999999
10/26/2007 19:00,bearskin lake (canada),on,ca,circle,10,10 sec,Oct. 26&#44 2007 19:00 hrs. Bearskin Lake ON&#44 Circular disc with 4 lights seen 500 ft above ground heading East,11/28/2007,53.933333,-90.983333
10/26/2013 19:00,kagawong (canada),on,ca,sphere,3600,1 hour,Bright sphere South/western  sky  Manitoulin Island for 1 hour and then suddenly disappeared.,11/11/2013,45.9,-82.25
10/26/2013 22:30,windsor (canada),on,ca,sphere,1800,30 minutes,20 medium sized orbs that glided from north to north east. The orbs made no sound.,11/11/2013,45.583333,-72.0
10/27/2001 19:30,abbotsford (canada),bc,ca,triangle,9,5 to 9 seconds,Large meteor or other object enters sky west of Mission BC at approx 1930 hrs 01/10/27,11/20/2001,45.433333,-72.883333
10/27/2004 17:00,vancouver (canada),bc,ca,unknown,60,60 seconds,At about 70 to 75 degrees from the south eastern horizon&#44 a white speck&#44 had to be in space&#44 as it appeared the size of a satelite. Was,11/2/2004,49.25,-123.13333300000001
10/27/2007 19:00,oshawa (canada),on,ca,fireball,5,5 seconds,bright light / flash streaking accross the sky in,11/28/2007,43.9,-78.866667
10/27/2011 21:30,calgary (canada),ab,ca,light,300,5 mins,Satellite-like object disapears and then possiblly flashes three times brightly.,12/12/2011,51.083333,-114.08333300000001
10/27/2013 02:45,hamilton (canada),on,ca,light,60,~1 minute,Metallic light appears&#44 changes direction and vanishes.,11/11/2013,43.25,-79.833333
10/27/2013 19:05,port alberni (canada),bc,ca,circle,300,5 minutes,I saw a large&#44 round light&#44  moving extremely slowly towards the top of the mountain across from me at treetop level.,11/11/2013,49.233333,-124.8
10/28/2003 16:00,victoria (canada),bc,ca,light,60,1 minute,I saw a light travel faster and at angles I&#39ve never witnessed before.,1/17/2004,46.216667,-63.483332999999995
10/28/2006 22:00,saskatoon (canada),sk,ca,light,10800,3 hrs,3 hr sighting of 2 lights moving around each other and changing color in southern sky outside of Saskatoon.,10/30/2006,52.133333,-106.66666699999999
10/28/2010 07:25,montreal (canada),qc,ca,teardrop,180,2 - 3 minutes,White triangles flying in sync,11/21/2010,45.5,-73.583333
10/28/2013 17:30,pierrefonds (canada),qc,ca,disk,600,10 minutes,UFO.,11/11/2013,45.466667,-73.883333
10/28/2013 20:30,pierrefonds (canada),qc,ca,light,1200,>20 minutes,7 UFOs.,11/11/2013,45.466667,-73.883333
10/29/2003 00:34,vancouver (canada),bc,ca,light,2,seconds,This Object was no sattellite&#33,10/31/2003,49.25,-123.13333300000001
10/30/1998 03:30,kelowna (canada),bc,ca,fireball,2,< 2sec,Bright white&#44 spherical object.  Approx size = match head held at arm&#39s length.  Direction of travel: an ARC&#44 approx. NE to SW. No tail,12/2/2000,49.9,-119.483333
10/30/1998 12:30,sudbury (south of) (canada),on,ca,cone,14400,4 hrs,craft was seen in eastern part of sky &#44moving in a southerly direction.It had many different coloured lights and appeared to be spinnin,12/2/2000,46.5,-80.966667
10/30/2003 23:24,port moody (canada),bc,ca,chevron,35,35 sec,The craft was V shaped with large orangey lights along the bottom it flue low and slow with no sound over the bay.,11/8/2003,49.283333,-122.85
10/30/2013 02:30,bolton (canada),on,ca,cigar,60,1 minute,Large red flashing lights flaying just above tree level.,11/11/2013,43.883333,-79.733333
10/31/1995 23:35,regina (canada),sa,ca,triangle,300,5 min.,On October 31&#44 1995&#44 I was outside waiting for my cab to take me to work.  I looked up to the East sky and first noticed a light which,7/26/2002,50.45,-104.616667
10/31/1998 22:24,brampton (canada),on,ca,circle,34,25-34 secs,On hallowe&#39en 1998 my friend Jessica and I seen a flying what seemed to  be an alien space craft that was there for NO longer than 35 s,12/2/2000,43.683333,-79.766667
10/31/2000 19:00,pickering (canada),on,ca,light,20,20 secs,Halloween light falling straight down in the sky.,12/20/2000,43.866667,-79.033333
10/31/2000 19:00,pickering (canada),on,ca,light,30,30 sec.,Star like object falling straight down out of the sky.,2/18/2001,43.866667,-79.033333
10/31/2000 19:30,amherstburg (canada),on,ca,sphere,45,45secs,giant bright sphere traveling east to west in ontario.,12/2/2000,42.1,-83.1
