level_0,index,Date,Type,Seconds,Duration,Description,Lat,Lon,full_address,neighbourhood,city,province,country_code,country,location_data_raw
10,272,10/10/2013 19:15,light,120,2 minutes,Slow moving bright orange light.,45.716667,-67.0,"2095, 3 Highway, York, New Brunswick, E6K 1T7, Canada",,,New Brunswick,ca,Canada,"{'place_id': '330705152694', 'licence': 'https://locationiq.com/attribution', 'lat': '45.71619', 'lon': '-66.997246', 'display_name': '2095, 3 Highway, York, New Brunswick, E6K 1T7, Canada', 'boundingbox': ['45.71619', '45.71619', '-66.997246', '-66.997246'], 'importance': 0.175, 'address': {'house_number': '2095', 'road': '3 Highway', 'county': 'York', 'state': 'New Brunswick', 'postcode': 'E6K 1T7', 'country': 'Canada', 'country_code': 'ca'}}"
11,308,10/11/1999 18:00,disk,6,6 seconds,A silvery disk shaped object&#44 flew over an aircraft&#44 then disappeared.,45.333333,-80.033333,"Wellington Street, Sound Boat Works, Parry Sound, Parry Sound District, Central Ontario, Ontario, P2A 1S4, Canada",,,Ontario,ca,Canada,"{'place_id': '105657285', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'way', 'osm_id': '78439695', 'lat': '45.3299392839808', 'lon': '-80.0322810587252', 'display_name': 'Wellington Street, Sound Boat Works, Parry Sound, Parry Sound District, Central Ontario, Ontario, P2A 1S4, Canada', 'address': {'road': 'Wellington Street', 'commercial': 'Sound Boat Works', 'town': 'Parry Sound', 'county': 'Parry Sound District', 'state_district': 'Central Ontario', 'state': 'Ontario', 'postcode': 'P2A 1S4', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['45.3283993', '45.3305626', '-80.0355814', '-80.029119']}"
12,413,10/11/2009 04:45,flash,5,>5 seconds,Bending streak of white light over suburban area.,47.55,-52.666667000000004,"Blackhead, St. John's, Newfoundland, Newfoundland and Labrador, A1C 0A2, Canada",,St. John's,Newfoundland and Labrador,ca,Canada,"{'place_id': '4302662', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'node', 'osm_id': '470734398', 'lat': '47.5247716', 'lon': '-52.6570084', 'display_name': ""Blackhead, St. John's, Newfoundland, Newfoundland and Labrador, A1C 0A2, Canada"", 'address': {'village': 'Blackhead', 'city': ""St. John's"", 'state_district': 'Newfoundland', 'state': 'Newfoundland and Labrador', 'postcode': 'A1C 0A2', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['47.4847716', '47.5647716', '-52.6970084', '-52.6170084']}"
13,454,10/11/2013 03:00,cylinder,3600,0300:0400,Enlarged still frame pics of the video show strage shapes and strange colors.,43.25,-79.833333,"15, Spadina Avenue, Hamilton, Hamilton, Ontario, L8M 1C8, Canada",,Hamilton,Ontario,ca,Canada,"{'place_id': '332066417682', 'licence': 'https://locationiq.com/attribution', 'lat': '43.250068', 'lon': '-79.833447', 'display_name': '15, Spadina Avenue, Hamilton, Hamilton, Ontario, L8M 1C8, Canada', 'boundingbox': ['43.250068', '43.250068', '-79.833447', '-79.833447'], 'importance': 0.2, 'address': {'house_number': '15', 'road': 'Spadina Avenue', 'city': 'Hamilton', 'county': 'Hamilton', 'state': 'Ontario', 'postcode': 'L8M 1C8', 'country': 'Canada', 'country_code': 'ca'}}"
14,457,10/11/2013 16:01,circle,300,5 minutes,Glowing blue sphere in Ontario&#44 Canada.,43.866667,-79.033333,"55, Coles Avenue, Westney, Ajax, Ontario, L1Z 1E7, Canada",Westney,Ajax,Ontario,ca,Canada,"{'place_id': '332660650489', 'osm_type': 'way', 'osm_id': '687879920', 'licence': 'https://locationiq.com/attribution', 'lat': '43.866611', 'lon': '-79.033329', 'display_name': '55, Coles Avenue, Westney, Ajax, Ontario, L1Z 1E7, Canada', 'boundingbox': ['43.866611', '43.866611', '-79.033329', '-79.033329'], 'importance': 0.225, 'address': {'house_number': '55', 'road': 'Coles Avenue', 'neighbourhood': 'Westney', 'city': 'Ajax', 'state': 'Ontario', 'postcode': 'L1Z 1E7', 'country': 'Canada', 'country_code': 'ca'}}"
15,476,10/11/2013 22:18,light,300,3-5 minutes,5 orange lights seen in sky over windsor.,45.583333,-72.0,"Rue Henry-Wheeler, Windsor, Le Val-Saint-Francois, Quebec, J1S 1A7, Canada",,Windsor,Quebec,ca,Canada,"{'place_id': '331349226079', 'licence': 'https://locationiq.com/attribution', 'lat': '45.583768', 'lon': '-71.998614', 'display_name': 'Rue Henry-Wheeler, Windsor, Le Val-Saint-Francois, Quebec, J1S 1A7, Canada', 'boundingbox': ['45.582618', '45.585056', '-71.999779', '-71.996926'], 'importance': 0.175, 'address': {'road': 'Rue Henry-Wheeler', 'city': 'Windsor', 'county': 'Le Val-Saint-Francois', 'state': 'Quebec', 'postcode': 'J1S 1A7', 'country': 'Canada', 'country_code': 'ca'}}"
16,496,10/1/1966 19:00,diamond,300,5 min,Unusual ights in distance. Approached until object overhead as wide as road and ditch. Bright lights&#44 Turned head to find object in hor,53.55,-113.5,"10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada",Central McDougall,Edmonton,Alberta,ca,Canada,"{'place_id': '332986084112', 'osm_type': 'node', 'osm_id': '877824266', 'licence': 'https://locationiq.com/attribution', 'lat': '53.549915', 'lon': '-113.500077', 'display_name': '10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada', 'boundingbox': ['53.549915', '53.549915', '-113.500077', '-113.500077'], 'importance': 0.2, 'address': {'house_number': '10404', 'road': '106 Avenue NW', 'neighbourhood': 'Central McDougall', 'city': 'Edmonton', 'state': 'Alberta', 'postcode': 'T5H 2X1', 'country': 'Canada', 'country_code': 'ca'}}"
17,509,10/1/1970 01:00,sphere,180,3 minutes,Sept. 1970. Kingston Ontario. Spherical grren orb. 3 minute duration. Bright green orb travelled slowly and then took off extremely qui,44.233333,-76.483333,"104, Barrack Street, Kingston, Frontenac, Ontario, K7K 1G2, Canada",,Kingston,Ontario,ca,Canada,"{'place_id': '331689103916', 'osm_type': 'node', 'osm_id': '805740564', 'licence': 'https://locationiq.com/attribution', 'lat': '44.233504', 'lon': '-76.48358', 'display_name': '104, Barrack Street, Kingston, Frontenac, Ontario, K7K 1G2, Canada', 'boundingbox': ['44.233504', '44.233504', '-76.48358', '-76.48358'], 'importance': 0.2, 'address': {'house_number': '104', 'road': 'Barrack Street', 'city': 'Kingston', 'county': 'Frontenac', 'state': 'Ontario', 'postcode': 'K7K 1G2', 'country': 'Canada', 'country_code': 'ca'}}"
18,576,10/1/1987 19:00,sphere,900,15mins,Large red and orange sphere&#44 balanced on a rock in 1987.,46.216667,-63.483332999999995,"36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada",,,Prince Edward Island,ca,Canada,"{'place_id': '19011996', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'node', 'osm_id': '1748028710', 'lat': '46.212265', 'lon': '-63.485442', 'display_name': '36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada', 'address': {'house_number': '36', 'road': 'Causeway Road', 'village': 'Victoria', 'county': 'Queens County', 'state': 'Prince Edward Island', 'postcode': 'C0A 2G0', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['46.212165', '46.212365', '-63.485542', '-63.485342']}"
19,670,10/1/2000 09:00,cigar,600,10 min,It was some time in oct 2000.I was taking my wife to work on Markham road&#44 traveling south bound. There was a lot of traffic and lots o,43.866667,-79.266667,"21, Riverview Avenue, Markham, York, Ontario, L3P 1E6, Canada",,Markham,Ontario,ca,Canada,"{'place_id': '333404655915', 'licence': 'https://locationiq.com/attribution', 'lat': '43.867802', 'lon': '-79.266973', 'display_name': '21, Riverview Avenue, Markham, York, Ontario, L3P 1E6, Canada', 'boundingbox': ['43.867802', '43.867802', '-79.266973', '-79.266973'], 'importance': 0.175, 'address': {'house_number': '21', 'road': 'Riverview Avenue', 'city': 'Markham', 'county': 'York', 'state': 'Ontario', 'postcode': 'L3P 1E6', 'country': 'Canada', 'country_code': 'ca'}}"
20,726,10/1/2003 02:00,unknown,30,15-30 seconds,GARGATUAN EXLPOSION IN THE SKY EMITS BRILLIANT BLINDING LIGHT AND EARTHQUAKE LIKE TREMORS,44.3,-78.333333,"560, Bolivar St, Peterborough, Peterborough, Ontario, K9J 5G1, Canada",,Peterborough,Ontario,ca,Canada,"{'place_id': '330861857690', 'licence': 'https://locationiq.com/attribution', 'lat': '44.29975', 'lon': '-78.333193', 'display_name': '560, Bolivar St, Peterborough, Peterborough, Ontario, K9J 5G1, Canada', 'boundingbox': ['44.29975', '44.29975', '-78.333193', '-78.333193'], 'importance': 0.2, 'address': {'house_number': '560', 'road': 'Bolivar St', 'city': 'Peterborough', 'county': 'Peterborough', 'state': 'Ontario', 'postcode': 'K9J 5G1', 'country': 'Canada', 'country_code': 'ca'}}"
21,735,10/1/2003 22:30,other,120,1 1/2 minutes,HBCCUFO CANADIAN REPORT:  The witness said the object was a brilliant red in color.,52.983333,-122.483333,"1287, Nelson Street, Quesnel, Cariboo, British Columbia, V2J 3C9, Canada",,Quesnel,British Columbia,ca,Canada,"{'place_id': '333538596485', 'osm_type': 'node', 'osm_id': '4269877939', 'licence': 'https://locationiq.com/attribution', 'lat': '52.983736', 'lon': '-122.481571', 'display_name': '1287, Nelson Street, Quesnel, Cariboo, British Columbia, V2J 3C9, Canada', 'boundingbox': ['52.983736', '52.983736', '-122.481571', '-122.481571'], 'importance': 0.175, 'address': {'house_number': '1287', 'road': 'Nelson Street', 'city': 'Quesnel', 'county': 'Cariboo', 'state': 'British Columbia', 'postcode': 'V2J 3C9', 'country': 'Canada', 'country_code': 'ca'}}"
22,746,10/1/2004 23:15,circle,7,5-7 seconds,Very bright&#44 circular object in evening sky,52.133333,-106.66666699999999,"25 Street East, Central Industrial, Saskatoon, Division No. 11, Saskatchewan, S7K 1P2, Canada",Central Industrial,Saskatoon,Saskatchewan,ca,Canada,"{'place_id': '334294745683', 'licence': 'https://locationiq.com/attribution', 'lat': '52.133713', 'lon': '-106.666842', 'display_name': '25 Street East, Central Industrial, Saskatoon, Division No. 11, Saskatchewan, S7K 1P2, Canada', 'boundingbox': ['52.132991', '52.133884', '-106.670105', '-106.663285'], 'importance': 0.2, 'address': {'road': '25 Street East', 'neighbourhood': 'Central Industrial', 'city': 'Saskatoon', 'county': 'Division No. 11', 'state': 'Saskatchewan', 'postcode': 'S7K 1P2', 'country': 'Canada', 'country_code': 'ca'}}"
23,787,10/1/2005 20:08,light,15,15 seconds,2 bright lights simutaneously travelling north - Hamilton Ontario Canada -,43.25,-79.833333,"15, Spadina Avenue, Hamilton, Hamilton, Ontario, L8M 1C8, Canada",,Hamilton,Ontario,ca,Canada,"{'place_id': '332066417682', 'licence': 'https://locationiq.com/attribution', 'lat': '43.250068', 'lon': '-79.833447', 'display_name': '15, Spadina Avenue, Hamilton, Hamilton, Ontario, L8M 1C8, Canada', 'boundingbox': ['43.250068', '43.250068', '-79.833447', '-79.833447'], 'importance': 0.2, 'address': {'house_number': '15', 'road': 'Spadina Avenue', 'city': 'Hamilton', 'county': 'Hamilton', 'state': 'Ontario', 'postcode': 'L8M 1C8', 'country': 'Canada', 'country_code': 'ca'}}"
24,854,10/1/2007 01:00,circle,60,1min,the ufos went over my house  500 Lights On Object0: Yes,44.383333,-79.7,"45, Perry St, Barrie, Simcoe, Ontario, L4N 2G3, Canada",,Barrie,Ontario,ca,Canada,"{'place_id': '332384999849', 'licence': 'https://locationiq.com/attribution', 'lat': '44.383453', 'lon': '-79.700045', 'display_name': '45, Perry St, Barrie, Simcoe, Ontario, L4N 2G3, Canada', 'boundingbox': ['44.383453', '44.383453', '-79.700045', '-79.700045'], 'importance': 0.2, 'address': {'house_number': '45', 'road': 'Perry St', 'city': 'Barrie', 'county': 'Simcoe', 'state': 'Ontario', 'postcode': 'L4N 2G3', 'country': 'Canada', 'country_code': 'ca'}}"
25,862,10/1/2007 20:00,disk,60,1 min,I was driving with my family and we looked up and seen a ufo almost directly above us.,52.766667,-108.28333300000001,"Pioneer Avenue, North Battleford, Division No. 16, Saskatchewan, S9A 2G4, Canada",,North Battleford,Saskatchewan,ca,Canada,"{'place_id': '330408264935', 'licence': 'https://locationiq.com/attribution', 'lat': '52.766019', 'lon': '-108.284319', 'display_name': 'Pioneer Avenue, North Battleford, Division No. 16, Saskatchewan, S9A 2G4, Canada', 'boundingbox': ['52.764369', '52.766345', '-108.284325', '-108.282074'], 'importance': 0.2, 'address': {'road': 'Pioneer Avenue', 'city': 'North Battleford', 'county': 'Division No. 16', 'state': 'Saskatchewan', 'postcode': 'S9A 2G4', 'country': 'Canada', 'country_code': 'ca'}}"
26,879,10/1/2008 19:40,disk,5,5 seconds,Lighted disk stops overhead,50.183333,-98.31666700000001,"Provincial Road 240, Delta, Manitoba, Canada",,,Manitoba,ca,Canada,"{'place_id': '101492105', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'way', 'osm_id': '78288544', 'lat': '50.1822835142585', 'lon': '-98.3185461913032', 'display_name': 'Provincial Road 240, Delta, Manitoba, Canada', 'address': {'road': 'Provincial Road 240', 'town': 'Delta', 'state': 'Manitoba', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['50.125', '50.1865394', '-98.3209467', '-98.30746']}"
27,919,10/1/2010 21:00,changing,60,30-60 seconds,hazy yellow-orange light(s) that changed shape and moved fluidly,52.133333,-106.66666699999999,"25 Street East, Central Industrial, Saskatoon, Division No. 11, Saskatchewan, S7K 1P2, Canada",Central Industrial,Saskatoon,Saskatchewan,ca,Canada,"{'place_id': '334294745683', 'licence': 'https://locationiq.com/attribution', 'lat': '52.133713', 'lon': '-106.666842', 'display_name': '25 Street East, Central Industrial, Saskatoon, Division No. 11, Saskatchewan, S7K 1P2, Canada', 'boundingbox': ['52.132991', '52.133884', '-106.670105', '-106.663285'], 'importance': 0.2, 'address': {'road': '25 Street East', 'neighbourhood': 'Central Industrial', 'city': 'Saskatoon', 'county': 'Division No. 11', 'state': 'Saskatchewan', 'postcode': 'S7K 1P2', 'country': 'Canada', 'country_code': 'ca'}}"
28,924,10/1/2011 00:53,other,5,4-5 seconds,0:53 or 12:53 am EST&#44 Saturday October 1st 2011&#44 Thunder Bay&#44 ON&#44 T like figure&#44 4 seconds&#44 dim orange lights&#44 silent  500 Lights On Ob,48.4,-89.233333,"1036, Mclaughlin St, Thunder Bay, Thunder Bay, Ontario, P7C 3C2, Canada",,Thunder Bay,Ontario,ca,Canada,"{'place_id': '330691542571', 'licence': 'https://locationiq.com/attribution', 'lat': '48.398993', 'lon': '-89.233257', 'display_name': '1036, Mclaughlin St, Thunder Bay, Thunder Bay, Ontario, P7C 3C2, Canada', 'boundingbox': ['48.398993', '48.398993', '-89.233257', '-89.233257'], 'importance': 0.175, 'address': {'house_number': '1036', 'road': 'Mclaughlin St', 'city': 'Thunder Bay', 'county': 'Thunder Bay', 'state': 'Ontario', 'postcode': 'P7C 3C2', 'country': 'Canada', 'country_code': 'ca'}}"
29,952,10/1/2012 11:20,fireball,2700,45 minutes,Groups of 2 Orange/yellow balls shot through the sky in a set path and disappeared over and over,42.983333,-79.25,"30, First Street, Welland, Niagara, Ontario, L3B 4M8, Canada",,Welland,Ontario,ca,Canada,"{'place_id': '330422907429', 'licence': 'https://locationiq.com/attribution', 'lat': '42.983294', 'lon': '-79.249976', 'display_name': '30, First Street, Welland, Niagara, Ontario, L3B 4M8, Canada', 'boundingbox': ['42.983294', '42.983294', '-79.249976', '-79.249976'], 'importance': 0.225, 'address': {'house_number': '30', 'road': 'First Street', 'city': 'Welland', 'county': 'Niagara', 'state': 'Ontario', 'postcode': 'L3B 4M8', 'country': 'Canada', 'country_code': 'ca'}}"
30,1057,10/12/2002 23:45,triangle,30,30 seconds,I went outside to have a cigarette pretty close to midnight on Oct. 12th&#44 2002.I star gaze on a regular basis. I live close to the Lang,49.1,-122.65,"53A Avenue, Langley (City), Greater Vancouver, British Columbia, V3A 2A8, Canada",,Langley (City),British Columbia,ca,Canada,"{'place_id': '330088220109', 'licence': 'https://locationiq.com/attribution', 'lat': '49.099579', 'lon': '-122.650662', 'display_name': '53A Avenue, Langley (City), Greater Vancouver, British Columbia, V3A 2A8, Canada', 'boundingbox': ['49.09951', '49.099693', '-122.651986', '-122.649331'], 'importance': 0.2, 'address': {'road': '53A Avenue', 'city': 'Langley (City)', 'county': 'Greater Vancouver', 'state': 'British Columbia', 'postcode': 'V3A 2A8', 'country': 'Canada', 'country_code': 'ca'}}"
31,1065,10/12/2003 21:15,circle,7200,a few hours,There were 4 sometimes 5 seperate crafts with one bright light each which was all you could see and  were changing formations.,43.866667,-79.033333,"55, Coles Avenue, Westney, Ajax, Ontario, L1Z 1E7, Canada",Westney,Ajax,Ontario,ca,Canada,"{'place_id': '332660650489', 'osm_type': 'way', 'osm_id': '687879920', 'licence': 'https://locationiq.com/attribution', 'lat': '43.866611', 'lon': '-79.033329', 'display_name': '55, Coles Avenue, Westney, Ajax, Ontario, L1Z 1E7, Canada', 'boundingbox': ['43.866611', '43.866611', '-79.033329', '-79.033329'], 'importance': 0.225, 'address': {'house_number': '55', 'road': 'Coles Avenue', 'neighbourhood': 'Westney', 'city': 'Ajax', 'state': 'Ontario', 'postcode': 'L1Z 1E7', 'country': 'Canada', 'country_code': 'ca'}}"
32,1085,10/12/2005 13:06,circle,3,3 seconds,The flything ubject came out of the clouds&#44&#44&#44 and stayed there for about 5 - 10 seconds and it sudenly moved to the right hand side by,43.866667,-79.43333299999999,"8, Canterbury Court, Richmond Hill, York, Ontario, L4C 8E3, Canada",,Richmond Hill,Ontario,ca,Canada,"{'place_id': '333435587624', 'licence': 'https://locationiq.com/attribution', 'lat': '43.86654', 'lon': '-79.433209', 'display_name': '8, Canterbury Court, Richmond Hill, York, Ontario, L4C 8E3, Canada', 'boundingbox': ['43.86654', '43.86654', '-79.433209', '-79.433209'], 'importance': 0.2, 'address': {'house_number': '8', 'road': 'Canterbury Court', 'city': 'Richmond Hill', 'county': 'York', 'state': 'Ontario', 'postcode': 'L4C 8E3', 'country': 'Canada', 'country_code': 'ca'}}"
33,1093,10/12/2006 01:23,sphere,1620,27 minutes,Floating red object over local baseball field.,46.24,-63.21,"29, Nevin Ln, Queens, Prince Edward Island, C0A 1H0, Canada",,,Prince Edward Island,ca,Canada,"{'place_id': '333937755123', 'licence': 'https://locationiq.com/attribution', 'lat': '46.239794', 'lon': '-63.209986', 'display_name': '29, Nevin Ln, Queens, Prince Edward Island, C0A 1H0, Canada', 'boundingbox': ['46.239794', '46.239794', '-63.209986', '-63.209986'], 'importance': 0.2, 'address': {'house_number': '29', 'road': 'Nevin Ln', 'county': 'Queens', 'state': 'Prince Edward Island', 'postcode': 'C0A 1H0', 'country': 'Canada', 'country_code': 'ca'}}"
34,1096,10/12/2006 18:30,unknown,120,< 2 minutes,Saw bright large light 2000 feet&#44Juan de Fuca strait&#444 miles south of Victoria Dissappeared with out moving,46.216667,-63.483332999999995,"36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada",,,Prince Edward Island,ca,Canada,"{'place_id': '19011996', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'node', 'osm_id': '1748028710', 'lat': '46.212265', 'lon': '-63.485442', 'display_name': '36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada', 'address': {'house_number': '36', 'road': 'Causeway Road', 'village': 'Victoria', 'county': 'Queens County', 'state': 'Prince Edward Island', 'postcode': 'C0A 2G0', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['46.212165', '46.212365', '-63.485542', '-63.485342']}"
